"name","out"
"MAP2K4",0.0016221358531408
"FLNC",0.00171832180711528
"SPAG9",0.00152736553017996
"MAPK8",0.00203579022217163
"MAP4K2",0.000787412826792885
"MAP2K7",0.00167810916707228
"MAP3K8",0.808666424788935
"AKT1",0.00259169667659586
"MAPK8IP3",-0.00381419330642182
"MAP3K11",0.00148358023131209
"MAP3K4",0.00135126796381159
"ARRB2",0.806930820950495
"MAP3K2",0.0015414010582687
"MAP3K1",0.001529698241336
"NPHS1",0.00151712175582533
"ITCH",0.00210970048977413
"MAPK9",0.00149718058615047
"BLNK",0.00101329633466861
"PML",0.00212385625378832
"MAPK10",0.0018002773109679
"MAP3K5",0.00208862023077328
"MAP2K6",0.00169221760283937
"MAPK14",0.00186175440615191
"MAP3K3",0.00159605066475836
"LRRK2",0.00201373868392828
"APP",0.806273698163907
"JUN",0.00206448962214865
"MAP3K7",0.0021031777078197
"ARRB1",0.00203709992031522
"MAPK1",0.0023226635854793
"GCH1",0.00141301517085284
"GEMIN5",0.00159615112793527
"RBBP8",0.00135451585630745
"EGFR",0.00342381929093696
"MAP3K10",0.00112737860365427
"NBR1",0.0019577979027636
"KTI12",-0.15500419616408
"VASP",0.807265746633476
"FLNB",0.00199213990473881
"CDC5L",0.00229625433703348
"UBC",0.00285375734730775
"TRIM25",0.00361177973753421
"APEX1",0.00265786783816388
"PLEKHA4",0.00311707832121296
"AGO2",0.00216951022273053
"HSCB",0.00206235240951255
"ALDOB",0.00179116355233164
"CYLC2",0.00113424028901018
"FBP2",0.00167589606417602
"STX17",0.00270194295005531
"SH3RF3",0.00123966419360174
"ZDHHC17",0.00155992535331169
"TNFAIP8L1",0.00155833420826307
"CAPN3",0.00134711184552485
"SGCD",0.00112588304845343
"SGCG",0.00155564108317211
"MYOZ1",0.00162011902629584
"KCND2",0.00126548752219755
"MYOZ2",0.00110877065966885
"MYOZ3",0.00129517204963775
"PHLDB2",0.00198689079506492
"MYOT",0.00156805921686628
"INPPL1",0.807925439256241
"OTUD1",0.0012599630434265
"OTUD4",0.00157651362311524
"USP53",0.000975895152203229
"USP25",0.00199810239257692
"CAMKK2",0.00168501942792805
"RASSF5",0.00174573038627787
"WIPI2",0.00108753106042467
"WNK1",0.00174534043616907
"SIRT7",0.0021619714605978
"PRKAB2",0.00180985527033264
"TRIM54",0.00161270876758243
"CUL3",0.00209956391328937
"CDK2",0.00248393222532089
"FBXL22",-0.00382030235197237
"DYNLRB1",0.00130699249596347
"EEF1G",0.00191352628362076
"NUP133",0.00169585712373638
"DYNC1H1",0.00187395805802783
"ENO1",0.00245223011452777
"SAP30BP",0.00124693531153554
"DDB1",0.00214377720397564
"SRSF9",0.00180382031534046
"SF3A3",0.0018680797163663
"DCTN1",0.00187414887995998
"EEF1D",0.00211487180675699
"FN1",0.00320189573932004
"VCAM1",0.00207852651341481
"TP63",0.0023613890369837
"IQCB1",0.00184089440173353
"IGSF8",0.00159967288038127
"NPM1",0.00238910647655316
"RPS6KA2",0.00190161965142022
"ANKRD28",0.00174563894003937
"AP3S1",0.808462757193866
"ARFGEF2",0.00167001364425165
"CTTNBP2NL",0.808426293251316
"KCMF1",0.00194030255714147
"NCAPD2",0.00169076943793491
"IKBKB",0.00205942310405495
"NUP88",0.00150312985520364
"PSMD12",0.00197498170168223
"PSMD13",0.00214628637292309
"PSMD3",0.00193344268728938
"TXNL1",0.00174161217121158
"XIRP2",0.00104873455625453
"XIRP1",0.0009941265760194
"SYNPO2",0.00157362791435256
"TRIM63",0.00200625456304814
"TRIM55",0.00195225193207604
"RAPGEF2",-0.0038061934772843
"OBSL1",0.00242912284549767
"FBXW11",0.00211623004494868
"TNFAIP1",-0.00380673394214396
"SNX24",0.0013490874554376
"ERI2",-0.00382364658858183
"KCTD13",-0.00382546758676038
"CARD8",0.00141614678166708
"DVL1",0.00178076651265685
"PIP5K1A",0.00172904404495831
"NAT8L",-0.00381504299623032
"HSPB2",0.00201581546135387
"FOXF1",0.00169643159358227
"MCM2",0.00244038522200279
"MCM5",0.00200981137754949
"CDC73",0.00202577162362884
"ATOH1",0.00119154822958202
"HSPB7",0.00163507336603599
"RAB8B",0.808710367731031
"NUAK2",0.00149053665383881
"GNG3",0.00104196607611001
"NT5C",0.00121760942501657
"PLEKHO1",0.00179062978864133
"FRYL",0.00144346092048403
"OFCC1",-0.00382867146620764
"PAX4",-0.155010695305333
"C6orf141",0.00099308383981972
"MFN1",0.00150412864089301
"PSMC4",0.0022689763434669
"SMOX",-0.00382238812051523
"RAPGEF5",-0.00381414735766414
"CYLD",0.00249063772014641
"BRCA1",0.0026315307796484
"TES",0.807334166933681
"WDR77",0.00212605384214922
"RAD18",0.00178073041598157
"RNF4",0.00291105226304117
"RNF31",0.00221179159736838
"SPDL1",0.00182192016742774
"SIAH2",0.00170297909072136
"PRKCZ",0.0020817254841905
"AGR2",0.00308681081452636
"MYC",0.806531578280637
"ANK3",0.00164542360093676
"PHB",0.00227197336923138
"USP14",0.00190529493215505
"MTDH",0.00207055254469736
"MECOM",0.002017811016383
"DYRK1A",0.00205337390757627
"MDP1",0.00125341706200998
"PTPN12",0.00208667148548739
"SSH1",0.00195475440014979
"PINK1",0.00241035498526321
"PDPK1",0.00181126859717798
"FLG",0.00134155446673531
"PPIB",0.00190914774782897
"HIST1H2AB",0.00169459957440593
"HIST2H2BF",0.00133759449716209
"DOCK6",0.001748011517961
"RPL30",0.00182951308020981
"DYSF",0.808168379384218
"MYBPC2",0.00121760561395748
"REPS1",0.00118284116531156
"CIT",0.00246865142823677
