"name","out"
"MAP2K4",0.00237694438322345
"FLNC",0.00132184541596601
"SPAG9",0.00169084555359781
"MAPK8",0.805980123775583
"MAP4K2",0.000813192692636329
"MAP2K7",0.806858608413145
"MAP3K8",0.00228769482064404
"AKT1",0.80566028877338
"MAPK8IP3",0.00165294008389138
"MAP3K11",0.00257026397226966
"MAP3K4",0.00192573694659761
"ARRB2",0.00247802355551809
"MAP3K2",0.00190056332197743
"MAP3K1",0.00199819728142945
"NPHS1",0.00119596104256248
"ITCH",0.001852828258546
"MAPK9",0.00241875426430745
"BLNK",0.00121700138786713
"PML",0.805639314583503
"MAPK10",0.001490895468512
"MAP3K5",0.00240947833758933
"MAP2K6",0.00237856137184603
"MAPK14",0.805923286055788
"MAP3K3",0.00179829434652958
"LRRK2",0.00243001805743252
"APP",0.00385705930528696
"JUN",0.805791725500594
"MAP3K7",0.0018531197182981
"ARRB1",0.00254817588480918
"MAPK1",0.80583694991723
"GCH1",0.806048534971327
"GEMIN5",0.00175331531684651
"RBBP8",0.001282930815229
"EGFR",0.00308247899151462
"MAP3K10",0.0018831051539956
"NBR1",0.00199092890427314
"KTI12",-0.00359452677414724
"VASP",0.00179392727950511
"FLNB",0.00150698506917684
"CDC5L",0.00205718778264549
"UBC",0.00248901102048763
"TRIM25",0.00321576750952604
"APEX1",0.00228042368028245
"PLEKHA4",0.002981405308854
"AGO2",0.00173844413637847
"HSCB",0.00192899812370723
"ALDOB",0.000796124145362836
"CYLC2",-0.00359872592534677
"FBP2",0.00114592955708639
"STX17",0.00139280899355872
"SH3RF3",0.00158267521925268
"ZDHHC17",0.00185814607886644
"TNFAIP8L1",0.00141091936482534
"CAPN3",0.000569995232094747
"SGCD",-0.00357782018763868
"SGCG",0.000954371727363255
"MYOZ1",0.000994720972583247
"KCND2",0.0012288527487013
"MYOZ2",-0.00359924021599642
"MYOZ3",-0.171998222609768
"PHLDB2",0.00129467449741316
"MYOT",0.00138654294877451
"INPPL1",0.00169103078804761
"OTUD1",0.00143279538648832
"OTUD4",0.00190242468311026
"USP53",0.00120985058581582
"USP25",-5.30838009323468e-05
"CAMKK2",0.806461593861473
"RASSF5",0.000968596268628373
"WIPI2",0.0015918696966598
"WNK1",0.00171942604059071
"SIRT7",0.00195147283699048
"PRKAB2",0.00191710354801799
"TRIM54",0.00122960111968648
"CUL3",0.00219367561518075
"CDK2",0.00194571401162971
"FBXL22",0.00101674916463113
"DYNLRB1",0.000850725650167078
"EEF1G",0.00234003665820047
"NUP133",0.00169816426583683
"DYNC1H1",0.00182260731092239
"ENO1",0.00242699678859332
"SAP30BP",0.806247090213048
"DDB1",0.00213576664857173
"SRSF9",0.00185322653180076
"SF3A3",0.00161319575057899
"DCTN1",0.00240590861349393
"EEF1D",0.00195798951455493
"FN1",0.00203546370179939
"VCAM1",0.00165452693476467
"TP63",0.00174023924901087
"IQCB1",0.00192246606768268
"IGSF8",0.00225019704311482
"NPM1",0.00244950924901303
"RPS6KA2",0.00171552448238914
"ANKRD28",0.00183592190397539
"AP3S1",0.00132914916281125
"ARFGEF2",0.00154080257276581
"CTTNBP2NL",0.00171823116261117
"KCMF1",0.00152027556838569
"NCAPD2",0.00152331908147311
"IKBKB",0.00244114104154271
"NUP88",0.00161909528007593
"PSMD12",0.0012623075092379
"PSMD13",0.00160502438045156
"PSMD3",0.00162170962526637
"TXNL1",0.00154506501897427
"XIRP2",-0.00361414569140763
"XIRP1",-0.17199940132657
"SYNPO2",0.00156069744186708
"TRIM63",0.00144312505890554
"TRIM55",0.00144128071007228
"RAPGEF2",0.00123752289217919
"OBSL1",0.00203277298566145
"FBXW11",0.00203978416025417
"TNFAIP1",0.000991922001770796
"SNX24",0.000906047668682918
"ERI2",-0.00359657255506324
"KCTD13",0.000974920582835174
"CARD8",0.00110164832899407
"DVL1",0.00128660745928552
"PIP5K1A",0.00118295386081057
"NAT8L",-0.172005242275382
"HSPB2",0.00135708929414277
"FOXF1",0.000927324793981888
"MCM2",0.00201609458363258
"MCM5",0.00178039976700625
"CDC73",0.00186314910817148
"ATOH1",0.00128181489328675
"HSPB7",0.00168271962393386
"RAB8B",0.00133650503090708
"NUAK2",0.00121562315952656
"GNG3",0.00141105781610966
"NT5C",0.000556690727074537
"PLEKHO1",0.00225710687499261
"FRYL",0.00190383930800783
"OFCC1",0.80598451338555
"PAX4",0.000419578440181389
"C6orf141",0.00128024765101872
"MFN1",0.00160994976341151
"PSMC4",0.00142533631804867
"SMOX",-0.172001144322753
"RAPGEF5",0.0012964386656871
"CYLD",0.00237993279975305
"BRCA1",0.805325235872878
"TES",0.00174587601905447
"WDR77",0.00175192550888447
"RAD18",0.00187954637246549
"RNF4",0.00221434042102561
"RNF31",0.00183357697305887
"SPDL1",0.00157143830842572
"SIAH2",0.00119366899154836
"PRKCZ",0.00243443356573359
"AGR2",0.00207100827243427
"MYC",0.00276301269694055
"ANK3",0.806773714344029
"PHB",0.805275112455204
"USP14",0.00166079877787861
"MTDH",0.00192476759986509
"MECOM",0.00153248700130999
"DYRK1A",0.00183675149413096
"MDP1",0.00113144202550041
"PTPN12",0.00149729959253412
"SSH1",0.00233398501279376
"PINK1",0.805453201971841
"PDPK1",0.00232049539905217
"FLG",0.00114738831609435
"PPIB",0.00185340339061496
"HIST1H2AB",0.00178434977241451
"HIST2H2BF",0.00111275680010258
"DOCK6",0.000888170676063279
"RPL30",0.00160197913774579
"DYSF",0.000996828129509699
"MYBPC2",0.000994563866696268
"REPS1",0.00146197485171204
"CIT",0.0022156600916999
