"name","out"
"MAP2K4",0.00154786014269387
"FLNC",0.805633546967301
"SPAG9",0.00182418153964749
"MAPK8",0.00204183960214836
"MAP4K2",0.000519979136115839
"MAP2K7",0.00177700654081901
"MAP3K8",0.00155383669860844
"AKT1",0.805493464561206
"MAPK8IP3",0.00182635478157295
"MAP3K11",0.00154645422601514
"MAP3K4",0.000940301000382223
"ARRB2",0.00164203267582346
"MAP3K2",0.00176216689442869
"MAP3K1",0.00174158262250672
"NPHS1",0.000507602522005036
"ITCH",0.00212270076124414
"MAPK9",0.00198624141036436
"BLNK",0.00108831249420692
"PML",0.00220980896565149
"MAPK10",0.00171764249851976
"MAP3K5",0.00182576067035414
"MAP2K6",0.00188670218688883
"MAPK14",0.00206607063495732
"MAP3K3",0.00115094875270723
"LRRK2",0.00186399080480358
"APP",0.00292908320484736
"JUN",0.00205863735462238
"MAP3K7",0.00171426182235257
"ARRB1",0.00200889235250208
"MAPK1",0.0022073280284552
"GCH1",0.000564154003056833
"GEMIN5",0.00194025203389372
"RBBP8",0.000959329849516172
"EGFR",0.80495048716772
"MAP3K10",0.000683968993280899
"NBR1",0.00190641009467088
"KTI12",0.000598713610234635
"VASP",0.00195302666684998
"FLNB",0.00160280398760472
"CDC5L",0.00210560073993304
"UBC",0.00251998320529431
"TRIM25",0.00305063584867296
"APEX1",0.00216496108007254
"PLEKHA4",0.00248671035162537
"AGO2",0.00179944140479287
"HSCB",0.0017648003917057
"ALDOB",0.00236333200339296
"CYLC2",0.00249064720329899
"FBP2",0.00268393754025655
"STX17",0.00225366665192454
"SH3RF3",0.000687361683787488
"ZDHHC17",0.00161366320695666
"TNFAIP8L1",-0.00307384209782727
"CAPN3",0.00116925661941079
"SGCD",0.000425128902261892
"SGCG",0.000391902104005708
"MYOZ1",0.00062630359356577
"KCND2",0.000513491400752061
"MYOZ2",0.000447251173308483
"MYOZ3",0.000691596190474247
"PHLDB2",0.00188817668737582
"MYOT",0.806433442901043
"INPPL1",0.00167363762455722
"OTUD1",0.0020600398069853
"OTUD4",0.00118719213361744
"USP53",0.00174395731100212
"USP25",0.000883021280603345
"CAMKK2",0.000378158436670925
"RASSF5",0.00176022463158903
"WIPI2",0.00114933487611418
"WNK1",0.806480837942036
"SIRT7",0.0020124064373473
"PRKAB2",0.00180249303632901
"TRIM54",0.00103517611796667
"CUL3",0.00214260905572401
"CDK2",0.00218469695240528
"FBXL22",0.00112907957151713
"DYNLRB1",0.00150682046111825
"EEF1G",0.00190948222803274
"NUP133",0.00175767971586076
"DYNC1H1",0.00196129968023944
"ENO1",0.0019323658408225
"SAP30BP",0.001087319248364
"DDB1",0.00210878314067778
"SRSF9",0.00168623449877372
"SF3A3",0.00172291929341497
"DCTN1",0.00176817178615033
"EEF1D",0.00197891012308212
"FN1",0.804846360553161
"VCAM1",0.00115339920128514
"TP63",0.805391975839243
"IQCB1",0.000987686883287457
"IGSF8",0.00157586446178514
"NPM1",0.00207729172974001
"RPS6KA2",0.0017724343984022
"ANKRD28",0.00164138681950255
"AP3S1",0.00132882812982548
"ARFGEF2",0.00195909839677837
"CTTNBP2NL",0.00107266970928181
"KCMF1",0.00164036428280647
"NCAPD2",0.00158163777772422
"IKBKB",0.00206886653790514
"NUP88",0.00175428430314006
"PSMD12",0.00161741436320812
"PSMD13",0.00129081676718344
"PSMD3",0.00172706497868534
"TXNL1",0.00191507259875163
"XIRP2",0.000389147875211213
"XIRP1",0.000964350176953392
"SYNPO2",0.00113272193037287
"TRIM63",0.0018794142874021
"TRIM55",0.00190279070535882
"RAPGEF2",0.00106227820082889
"OBSL1",0.00210778108335757
"FBXW11",0.00211257121135275
"TNFAIP1",0.000812552510628031
"SNX24",0.000421410627374975
"ERI2",0.805859175052119
"KCTD13",0.00128759250637267
"CARD8",0.000922192803951021
"DVL1",0.00213513378988833
"PIP5K1A",0.00163677664905565
"NAT8L",0.000425339463504746
"HSPB2",0.00137174644499355
"FOXF1",0.00116672604189539
"MCM2",0.00206768850125291
"MCM5",0.00201436984283846
"CDC73",0.00201981633180436
"ATOH1",0.000863635909993486
"HSPB7",0.000387028685818243
"RAB8B",0.00174849071014042
"NUAK2",0.00038988321383076
"GNG3",0.00131168367567148
"NT5C",0.805875902091376
"PLEKHO1",0.00186825172312618
"FRYL",0.000378497004770032
"OFCC1",0.000597219284458118
"PAX4",0.00102770452641213
"C6orf141",0.000625234807443735
"MFN1",0.806354881985264
"PSMC4",0.00164012713630051
"SMOX",0.000414204083937667
"RAPGEF5",0.00170611976643138
"CYLD",0.00205354333300069
"BRCA1",0.00243052583147997
"TES",0.00207768603065652
"WDR77",0.0021300885000874
"RAD18",0.00200999042545364
"RNF4",0.0020118246637403
"RNF31",0.00201278014427947
"SPDL1",0.00150078495435516
"SIAH2",0.001836155134081
"PRKCZ",0.805589921208224
"AGR2",0.00216842352978147
"MYC",0.804949691044439
"ANK3",0.00200970859660999
"PHB",0.00211993697940445
"USP14",0.00149941263373202
"MTDH",0.80543160892686
"MECOM",0.00190788722290455
"DYRK1A",0.00190751708937478
"MDP1",0.00117860806379674
"PTPN12",0.00148599589368631
"SSH1",0.0016145973975866
"PINK1",0.00186231872735764
"PDPK1",0.00165095823338453
"FLG",0.00142177333989116
"PPIB",0.00195186140588845
"HIST1H2AB",0.00188772721283958
"HIST2H2BF",0.000721428367742994
"DOCK6",0.00155909341046753
"RPL30",0.00194889381403128
"DYSF",0.000373627668959603
"MYBPC2",0.000376646379386215
"REPS1",0.000788714017377528
"CIT",0.00225025772892147
